url,label
https://github.com/public-apis/public-apis,0
https://github.com/EbookFoundation/free-programming-books,0
https://github.com/donnemartin/system-design-primer,0
https://github.com/vinta/awesome-python,0
https://github.com/TheAlgorithms/Python,0
https://github.com/Significant-Gravitas/AutoGPT,0
https://github.com/AUTOMATIC1111/stable-diffusion-webui,0
https://github.com/huggingface/transformers,0
https://github.com/yt-dlp/yt-dlp,0
https://github.com/521xueweihan/HelloGitHub,0
https://github.com/langflow-ai/langflow,0
https://github.com/ytdl-org/youtube-dl,0
https://github.com/langchain-ai/langchain,0
https://github.com/open-webui/open-webui,0
https://github.com/Comfy-Org/ComfyUI,0
https://github.com/anthropics/skills,0
https://github.com/deepseek-ai/DeepSeek-V3,0
https://github.com/pytorch/pytorch,0
https://github.com/openai/whisper,0
https://github.com/davidbombal/python-keylogger,1
https://github.com/ajinabraham/Xenotix-Python-Keylogger,1
https://github.com/aydinnyunus/Keylogger,1
https://github.com/4w4k3/BeeLogger,1
https://github.com/D4Vinci/PyLoggy,1
https://github.com/UndeadSec/HeraKeylogger,1
https://github.com/mehulj94/Radium,1
https://github.com/suriyaa/keylogger,1
https://github.com/secureyourself7/python-keylogger,1
https://github.com/NullArray/Archivist,1
https://github.com/collinsmc23/python-keylogger-advanced,1
https://github.com/collinsmc23/python-advanced-keylogger-crash-course,1
https://github.com/nathanlopez/Stitch,1
https://github.com/xp4xbox/Python-Keylogger,1
https://github.com/hiamandeep/py-keylogger,1
https://github.com/Kill0geR/KeyloggerScreenshot,1
https://github.com/filipherle/PythonKeylogger,1
https://github.com/bing0o/Python-Scripts,1
https://github.com/attreyabhatt/Python-Keylogger,1
